TIMESTAMP #, PEOPLE DOING BBQ#, TEMPERATURE#, PEOPLE LEAVING CITY#
0, 0, 22.628527588818034, 18916
1, 46132, 28.76352039627598, 37587
2, 57374, 33.75346161098782, 55974
3, 33698, 35.24013418887553, 74725
4, 17216, 34.67049309324137, 93760
5, 4448, 30.852526183874062, 47391
6, 49661, 25.90774017826352, 1310
7, 73602, 19.72378265176112, 20487
8, 34369, 14.385634179139029, 39719
9, 13861, 10.839345430641721, 58173
10, 5460, 10.09386822097338, 77561
11, 2540, 12.271821072936131, 96339
12, 612, 16.826505230339972, 50396
13, 15604, 23.01010015763514, 2333
14, 57456, 28.60651969798822, 21798
15, 71105, 33.31627622799305, 40116
16, 47376, 35.811628532724455, 59444
17, 26364, 35.18508537789378, 77797
18, 15191, 31.046643406984884, 97516
19, 2313, 25.682615695652515, 49970
20, 36666, 19.577569662730216, 3115
21, 41260, 14.222956706773978, 21777
22, 17582, 10.822765819892975, 41230
23, 7648, 10.092293638073555, 60043
24, 4521, 12.215334255079313, 79213
25, 3446, 17.023132669630133, 98038
26, 631, 22.513364963835617, 50942
27, 27627, 29.1949116538522, 2105
28, 92711, 32.978854778359754, 20138
29, 64789, 34.92387048483847, 38528
30, 42949, 35.073775433847885, 57706
31, 29197, 31.595942055361192, 77144
32, 20488, 25.855979581158593, 95369
33, 3439, 19.73944675263854, 49479
34, 21872, 14.252749380458114, 183
35, 22529, 10.842390872842818, 18933
36, 10588, 10.095462812521935, 38641
37, 6948, 12.320385225264715, 57061
38, 7241, 16.69496354839081, 75478
39, 7594, 22.90194135609951, 94423
40, 3250, 29.154886797224414, 48665
41, 48483, 32.86032033865271, 1138
42, 80908, 35.03299236594084, 19360
43, 55852, 35.36451853906357, 37710
44, 42004, 31.693796099571376, 56946
45, 38329, 26.01531393708102, 76426
46, 17727, 19.622794854055208, 94904
47, 2180, 14.411620918318501, 49098
48, 11746, 10.834508552320234, 802
49, 12938, 10.093129344434928, 19863
50, 9070, 12.240339559966882, 39166
51, 10127, 16.733771408787533, 58699
52, 12850, 22.73804986721775, 77842
53, 12729, 28.396458430688767, 96514
54, 3123, 33.245208143570025, 47084
55, 42086, 35.57814357834283, 716
56, 65795, 35.05805365337281, 19812
57, 55427, 31.623237083457898, 37878
58, 55581, 25.732090966758037, 57151
59, 31524, 19.978306516670703, 76166
60, 10569, 14.312738785195897, 95351
61, 1058, 10.831392943727208, 48506
62, 6712, 10.095427878921086, 1740
63, 11127, 12.266875395510969, 20578
64, 13279, 17.01228205446353, 38611
65, 19741, 22.73538348916756, 57443
66, 24441, 28.887867549988233, 75497
67, 22719, 33.33999396796107, 94503
68, 4341, 36.11809245921864, 47747
69, 33113, 34.94749756715219, 0
70, 69736, 30.808564685515044, 19433
71, 76282, 25.57716902645201, 38516
72, 44691, 19.69349177712417, 57570
73, 18284, 14.23005961875678, 75904
74, 5421, 10.833411508243527, 95468
75, 590, 10.092755692723511, 47822
76, 5905, 12.219944252982197, 2318
77, 16207, 16.99991034357112, 21294
78, 25273, 22.891637116893847, 40121
79, 34864, 28.9027564397036, 59870
80, 37248, 33.37789866460707, 79020
81, 16521, 36.04107148354154, 98728
82, 811, 34.87039927901006, 52595
83, 33262, 30.91282225281858, 4265
84, 89997, 25.779024915042182, 22754
85, 57038, 19.676449704128213, 42081
86, 24915, 14.217997327512858, 61018
87, 8755, 10.831061638420174, 79455
88, 2677, 10.093008782409713, 97507
89, 282, 12.262712974560824, 50723
90, 8233, 16.903333543316023, 4135
91, 30434, 22.593988075419972, 22578
92, 43914, 28.58662091552463, 42311
93, 52381, 33.553247173929186, 61941
94, 29577, 35.2630598383455, 80923
95, 12970, 34.77541447864743, 99816
96, 130, 31.286784574198357, 50731
97, 45133, 26.163397478146425, 2561
98, 74110, 19.688093822811673, 22292
99, 33468, 14.383753916878977, 40648
100, 13643, 10.828532046544256, 60317
101, 5170, 10.093740729251985, 78647
102, 2417, 12.293188976495568, 97274
103, 457, 16.733868394062572, 51392
104, 15123, 22.798609432953462, 5675
105, 54475, 28.440017334423647, 25421
106, 67024, 33.157777659119596, 44998
107, 44032, 36.14251959732529, 63597
108, 23022, 34.406401843415125, 83209
109, 12220, 31.02920419915393, 100000
110, 0, 26.10203153178266, 50686
111, 37331, 19.97289999799221, 3915
112, 42588, 14.30710844243675, 22670
113, 17587, 10.824447331241139, 41032
114, 7676, 10.095496269779943, 59436
115, 4593, 12.250480632209293, 77973
116, 3672, 16.84527016950448, 96580
117, 1078, 23.01815770088676, 47923
118, 30658, 28.73646283869235, 0
119, 91753, 33.86388500264296, 19285
120, 61262, 35.80679711149288, 38872
121, 39754, 34.37535886477928, 56888
122, 31453, 31.110375503396096, 76642
123, 21660, 25.72779401319616, 94736
124, 3871, 19.6411216070351, 45537
125, 23344, 14.379541920987258, 0
126, 22974, 10.823641344666584, 19634
127, 10461, 10.094494215793347, 39259
128, 6877, 12.221734687380314, 57850
129, 6995, 16.894949565255555, 76467
130, 7463, 23.12182207251097, 94687
131, 3156, 28.852812033565414, 48267
132, 47852, 33.75403520842265, 1752
133, 75198, 36.072727875905926, 21141
134, 50164, 34.93228481196908, 39970
135, 41913, 31.573444704299586, 59720
136, 36165, 26.21043307918179, 77862
137, 16898, 19.806526547255007, 97443
138, 1114, 14.359676087398835, 50962
139, 11235, 10.836135159598445, 4911
140, 12406, 10.092057710411757, 22987
141, 8715, 12.280281328527408, 42002
142, 9718, 16.937944734002855, 61388
143, 12308, 23.025493113871352, 79799
144, 11900, 29.144041008471184, 99225
145, 731, 33.20678104822797, 50209
146, 39715, 35.622033986771385, 710
147, 65562, 34.27694765297109, 19887
148, 58898, 31.2269566914704, 38654
149, 56430, 26.073596436141646, 57078
150, 32421, 19.93261834859339, 76131
151, 10537, 14.308564062524965, 95421
152, 1041, 10.823425214135455, 48960
153, 6643, 10.09189368559841, 671
154, 11240, 12.318547193793943, 18779
155, 13694, 16.728691576477186, 38014
156, 19274, 22.896073387992065, 56506
157, 25334, 28.582200596967798, 75812
158, 21955, 33.07170250361033, 94639
159, 4319, 35.21328757369709, 45709
160, 37061, 34.31011589208867, 383
161, 73049, 31.071143196543858, 18774
162, 75529, 25.911147817545693, 38459
163, 45908, 19.510762210623884, 57268
164, 18074, 14.245731497140124, 75925
165, 5428, 10.823871764003265, 94705
166, 689, 10.094170061267851, 48130
167, 5872, 12.317237818025033, 1281
168, 16641, 16.707695152929734, 20183
169, 24756, 22.863313688803327, 39254
170, 35282, 29.04750304515162, 58143
171, 39241, 33.51363327387263, 76454
172, 18353, 35.56327391492793, 96134
173, 2565, 35.179626504176056, 48417
174, 35308, 31.26398387324032, 1656
175, 90231, 25.719658989987668, 20970
176, 58087, 19.659640648273275, 40403
177, 25593, 14.37298088932349, 59938
178, 9195, 10.821853223531273, 79620
179, 2651, 10.094357252117325, 97710
180, 259, 12.226885396261999, 52467
181, 7895, 16.87430404059571, 4677
182, 30158, 22.933938042380536, 24441
183, 44157, 28.575093773034432, 43143
184, 51584, 33.81337559262274, 62634
185, 28470, 35.56628397248394, 81597
186, 12207, 35.22857481319392, 100000
187, 0, 31.37150180298814, 52658
188, 43112, 26.19385838480932, 6317
189, 71419, 19.69942653942669, 25065
190, 32310, 14.360361856985177, 44041
191, 12822, 10.846612163968913, 62799
192, 4862, 10.09305726031393, 82378
193, 1994, 12.306824382487054, 100000
194, 0, 17.021671642231972, 53483
195, 14975, 22.92776481257749, 4547
196, 55753, 28.526816096953414, 22903
197, 69711, 33.60302349081657, 41777
198, 45077, 35.91555929611017, 60879
199, 25213, 35.2890135297485, 79812
200, 13697, 30.852859951377948, 99257
201, 701, 25.922459291814352, 52572
202, 35411, 19.60356763352785, 4269
203, 40877, 14.224522492170792, 22907
204, 17331, 10.846045672481022, 41548
205, 7640, 10.091226987885616, 59937
206, 4533, 12.25704983030016, 78137
207, 3649, 16.846618771395594, 96852
208, 992, 22.74282105849088, 49147
209, 29225, 28.754987068750605, 3642
210, 88526, 33.902950922335975, 23377
211, 57982, 36.08515690803921, 41649
212, 37080, 34.787130656359075, 60110
213, 28175, 30.85598658236912, 79022
214, 19797, 25.512425131688794, 98713
215, 930, 19.974193588429326, 49888
216, 22214, 14.23260336323461, 2417
217, 21963, 10.815479036866991, 21291
218, 10229, 10.093722291661663, 40661
219, 6717, 12.293252620664624, 60397
220, 6649, 17.007391383464757, 78560
221, 6890, 23.07566690236742, 98191
222, 1070, 29.222408215332223, 51944
223, 45597, 33.072760525820634, 5656
224, 76007, 36.15373149130418, 24310
225, 47823, 34.47759296978037, 42536
226, 41590, 31.706292984944625, 61383
227, 34349, 25.512000119573198, 79443
228, 14866, 19.532846908726654, 97766
229, 947, 14.251649413206245, 49439
230, 11410, 10.83765869870661, 3505
231, 12593, 10.094468322453361, 22931
232, 8725, 12.287514059204497, 41072
233, 9885, 16.937854589580887, 59337
234, 12962, 22.885711486056664, 78737
235, 12374, 28.409743027695768, 98172
236, 1639, 33.01018171154633, 49611
237, 40784, 35.75370923050085, 395
238, 65062, 34.50409112928526, 19393
239, 58219, 31.54359715235217, 39188
240, 54715, 26.08825543144126, 58223
241, 31592, 19.757812562342348, 76340
242, 10262, 14.38846316342065, 95117
243, 1123, 10.82302056522809, 47427
244, 6842, 10.094123536705741, 495
245, 11265, 12.21658507893912, 19495
246, 13349, 16.902474722777242, 37591
247, 19810, 22.56190483828907, 56089
248, 24836, 29.009718952686935, 75815
249, 22614, 33.58058048690613, 95556
